label_raw,year,value
Services,2025,109158.0
Services,2024,96169.0
Services,2023,85200.0
Total net sales,2025,416161.0
Total net sales,2024,391035.0
Total net sales,2023,383285.0
Products,2025,194116.0
Products,2024,185233.0
Products,2023,189282.0
Services,2025,26844.0
Services,2024,25119.0
Services,2023,24855.0
Total cost of sales,2025,220960.0
Total cost of sales,2024,210352.0
Total cost of sales,2023,214137.0
Gross margin,2025,195201.0
Gross margin,2024,180683.0
Gross margin,2023,169148.0
Research and development,2025,34550.0
Research and development,2024,31370.0
Research and development,2023,29915.0
"Selling, general and administrative",2025,27601.0
"Selling, general and administrative",2024,26097.0
"Selling, general and administrative",2023,24932.0
Total operating expenses,2025,62151.0
Total operating expenses,2024,57467.0
Total operating expenses,2023,54847.0
Operating income,2025,133050.0
Operating income,2024,123216.0
Operating income,2023,114301.0
"Other income/(expense), net",2024,269.0
Income before provision for income taxes,2025,132729.0
Income before provision for income taxes,2024,123485.0
Income before provision for income taxes,2023,113736.0
Provision for income taxes,2025,20719.0
Provision for income taxes,2024,29749.0
Provision for income taxes,2023,16741.0
Basic,2025,14948500.0
Basic,2024,15343783.0
Basic,2023,15744231.0
Diluted,2025,15004697.0
Diluted,2024,15408095.0
Diluted,2023,15812547.0
